iso3,FPV_TWh,FPV_NetProfit_R_perkWH,FPV_NetProfit_B_perkWH,FPV_NetProfit_R,FPV_NetProfit_B,Class
CZE,0.8460734313110532,0.30938023,0.18738023,261758392.7759028,158537434.15595436,H
DEU,16.97621727933914,0.342662365,0.22666236499999998,5817110761.692216,3847869557.288874,H
DNK,3.085561940413809,0.31238023,0.18738023,963868548.6257118,578173306.0739858,H
DOM,1.6490771674446285,0.07438023,0.13138023,122658739.00227998,216656137.54662377,UM
DZA,0.8744568597945203,-0.0026197700000000004,-0.007619769999999998,-2290875.8475838904,-6663160.146556489,UM
ECU,1.251513571067167,0.05438023,0.048380229999999996,68057595.84275389,60548514.41635088,UM
EGY,21.669021423673264,-0.01861977,-0.005619770000000003,-403472195.0338688,-121774916.52611637,LM
ESP,3.051929504438443,0.18993887999999998,0.08493888000000001,579680071.9119928,259227473.9459564,H
EST,0.6080413089335417,0.24338022999999998,0.11938023,147985233.6177464,72588111.30998726,H
ETH,11.455566466726452,-0.03661977,-0.023619770000000002,-419500209.2312354,-270577845.1637915,L
FIN,7.502739605282084,0.14438023,0.08438023,1083247269.8407364,633082893.5238115,H
FRA,12.806742387826784,0.20675524,0.11675524,2647861096.0133,1495254281.108889,H
GBR,4.607600060444117,0.35438023,0.40238023,1632842369.1682003,1854007172.0695176,H
GEO,0.40784511154424713,0.024380230000000003,0.06338023,9943357.6238244,25849316.974050038,UM
GHA,0.6406746395108325,0.08438023,0.07738023,54060273.437091134,49575550.960515305,LM
GRC,1.8111957546964517,0.202220206,0.195220206,366260378.62104195,353582008.3381668,H
GTM,5.7242111720486415,0.25238023,0.14338023,1444677732.1702056,820738714.4169039,UM
HKG,0.33963265609872256,0.14438023,0.13338023,49036241.00304447,45300281.78595851,H
HND,0.033771591531914384,0.20138023,0.19938023,6800930.87016297,6733387.687099142,LM
HRV,0.2744680307831575,0.12538023,0.12438023000000001,34412864.82723937,34138396.79645622,H
HTI,0.5570535396568203,,,,,LM
HUN,5.2568851962163645,0.06538023,0.16638023,343696363.212221,874641768.0300738,H
IDN,14.844291699614217,0.04938023,0.028380229999999992,733014538.3140409,421284412.62214226,UM
IND,111.60054515828713,0.039193187,0.088193187,4373981035.690692,9842407748.446762,LM
IRL,3.6593934227769114,0.40038023,,1465148780.271907,,H
IRN,9.286523290748928,-0.03961977,,-367929916.87911564,,UM
IRQ,24.160008495325695,-0.027619770000000002,0.002380229999999997,-667293877.8389418,57506377.02082901,UM
ISR,6.537738283668784,0.13138023,0.06838023,858929559.3882099,447052047.5170767,H
ITA,29.533502088349195,0.361059712,0.381059712,10663357758.370758,11254027800.137743,H
JOR,10.937415225003496,0.047380229999999995,0.08438023,518217248.9661674,922901612.2912967,LM
JPN,22.02168669769612,0.10928175000000001,0.08728174999999999,2406568460.275953,1922091352.926638,H
KAZ,0.12378319707826795,0.012380229999999999,0.031380229999999995,1532464.4499642851,3884345.1944513754,UM
KEN,16.41110608823726,0.17738023,0.13338023,2911005772.4859257,2188917104.603486,LM
KGZ,4.1229150693031755,-0.028619770000000003,-0.004619770000000002,-117996881.01299095,-19046919.349714737,LM
KHM,11.07982776735524,0.10738023,,1189754454.0189922,,LM
KOR,2.741059330328102,0.04240101,0.03240101000000001,116223684.07583517,88813090.77255416,H
LAO,0.06528629567482402,-0.01361977,,-889184.3312430979,,LM
LBN,0.2022123512356853,,,,,LM
LKA,9.753426053375946,0.08238023,0.057380230000000004,803489481.5651027,559653830.2307042,LM
LTU,1.7229049775212075,0.22738023000000002,0.13838023,391754530.056917,238415987.0575295,H
LVA,2.150487306809551,0.24038022999999997,0.12438023000000001,516934633.4229604,267478105.83305255,H
MAR,3.0087234522719135,0.07538022999999999,0.06538023,226798265.83865085,196711031.31593174,LM
MDA,0.6091481966947472,0.12038023,0.09538023000000001,73329400.02219892,58100695.10483023,UM
MDG,0.3598748740071632,0.08638023,0.12538023,31086074.387959782,45121194.47423915,L
MEX,54.0558111432326,0.06338023,0.16838023,3426069743.094645,9101929913.134068,UM
MKD,1.3237153459549502,0.08238023,0.19338023,109047974.65429837,255980378.05529782,UM
MLI,5.306149887085076,0.17438023,0.11438023,925287637.7243696,606918644.4992651,L
MMR,0.5984428268131939,-0.016619770000000002,0.05238023,-9945982.139785118,31346572.910325263,LM
MNE,3.1817537646752214,,,,,UM
MOZ,10.49861696765107,0.08438023,0.03738023,885875714.4123,392440716.9326996,L
MWI,13.111620043504221,0.04438022999999999,0.10338022999999999,581896713.2033273,1355482295.7700763,L
NGA,12.084626188293225,-0.006619770000000004,0.008380229999999995,-79997445.90247789,101271946.92192048,LM
NIC,7.579126747623176,0.13338023,0.17538023,1010905668.7971312,1329228992.1973047,LM
NLD,7.777574853550809,0.24554556699999996,0.18754556700000002,1909749027.300075,1458649685.7941287,H
NOR,2.4745336391104726,0.10938023,0.06038022999999999,270665058.5886405,149412910.27222732,H
NPL,1.2599604095358379,0.0003802299999999953,0.026380230000000005,479074.74651780573,33238045.3944496,LM
NZL,4.086626969232955,0.16138022999999999,,659500800.2190171,,H
PAK,18.25358171439493,0.02238023,0.11438023,408519357.09195286,2087848874.8162863,LM
PAN,0.6302354983468141,0.12938022999999998,0.15038023,81540013.73027542,94774959.19555853,H
PER,14.26215011557443,0.14338023,0.11938023,2044910363.8655887,1702618761.0918021,UM
PHL,25.22599409858116,0.16038023,0.10838023,4045750735.50909,2733999042.382869,LM
POL,11.592956548664427,0.1441153,0.30911530000000004,1670722410.8977385,3583560241.4273696,H
PRI,0.15870273191507128,,,,,H
PRK,2.05103017198829,,,,,L
PRT,0.5819154561179642,0.18838023,0.10938023,109621367.46405701,63650046.43073784,H
PRY,8.236224934421609,0.010380229999999997,0.002380229999999997,85493909.1510312,19604109.675658323,UM
PSE,10.938598629735205,,,,,LM
ROU,7.049725350525416,0.13238023,0.18538023,933244263.3393852,1306879706.9172325,H
RUS,119.90441033424224,0.02038023,0.04938023,2443679460.6262336,5920907360.319259,H
RWA,19.80187002468282,0.16038023,0.03338023,3175828468.9887366,660990975.8540181,L
SAU,1.2380437691202681,0.008380229999999995,0.025380230000000004,10375091.535294738,31421835.61033931,H
SDN,2.2037430348558935,-0.03561977,-0.007619769999999998,-78496820.0406689,-16792015.06470389,L
SEN,0.10479032643037403,0.13838023,,14500909.473210236,,LM
SLV,3.0095299843127132,0.20438023,0.17538023,615088430.3857287,527812060.84066004,UM
SRB,1.718716428629752,0.08238023,0.09738023000000001,141588254.69529757,167369001.12474388,UM
SVK,2.0790843639798844,0.16638023,0.28538023,345918534.66837686,593329573.9819832,H
SVN,0.15064112383168834,0.18038023,0.14638023,27172680.564218428,22050882.35394102,H
SWE,19.479558133466668,0.18738023,,3650084083.347355,,H
SWZ,0.16667661396027264,0.07838023,0.04338022999999999,13064151.33782738,7230469.849217837,LM
SYR,12.299358185782088,-0.028619770000000003,-0.0036197700000000013,-352004802.4247007,-44520847.78014845,L
TGO,1.2926969280368061,0.14938023,0.13438023,193103364.43043154,173712910.50987944,L
THA,0.40304999230194977,0.08438023,0.08638023,34009451.05193675,34815551.03654065,UM
TJK,4.759675735481998,,,,,LM
TKM,0.1947461348834648,,,,,UM
TUN,4.115691085192962,0.024380230000000003,0.07138023,100341495.26595403,293778976.2700232,LM
TUR,12.64644573844451,-0.018118079999999995,0.06188191999999999,-229129315.60479665,782586343.470764,UM
TWN,0.09414727604277329,0.05338023,0.13238023,5025603.2490367275,12463238.056415817,H
TZA,25.947151684528933,0.048380229999999996,0.05038023,1255329166.3423972,1307223469.711455,LM
UGA,24.799738159245226,0.12838023,0.07738023,3183796088.823679,1919009442.702172,L
UKR,30.066526229193638,0.03438023,0.09738023000000001,1033694087.0607098,2927885239.4999094,UM
URY,0.4516849340387518,0.20738023,0.08038023,93670525.50849119,36306538.8855697,H
USA,278.9258741026447,0.11147517,0.07847517,31093309232.990913,21888755387.603638,H
UZB,0.8004095962796768,-0.008619769999999999,0.02238023,-6899346.625723668,17913350.858946312,LM
VEN,11.928261901617175,0.026380230000000005,0.03838023,314670292.46489847,457809435.28430456,
VNM,12.656245131040217,0.03538023,0.03438023,447780863.67258304,435124618.54154277,LM
YEM,0.18796853262842297,,,,,L
ZAF,13.183110491210714,0.14338023,0.05038023,1890197414.345205,664168138.6626087,UM
ZMB,2.6974787436810987,-0.01961977,-0.006619770000000004,-52923912.530912116,-17856688.86305784,LM
ZWE,5.695624173771709,,,,,LM
