Year,Month,ISO_A3_EH,FPV_MWh,GPV_MWh
2024,3,COD,1602178.2709699636,1575170.073636256
2024,3,COG,54058.62743424653,52486.64902177179
2024,3,COL,1165413.2676612071,1125126.1960460409
2024,3,CUB,92932.39327357654,89400.79539820064
2024,3,CZE,70148.22164523148,67895.04205277737
2024,3,DEU,1350936.2634186526,1330884.985867214
2024,3,DNK,187388.59302853717,184009.7557610321
2024,3,DOM,154656.5970778291,151775.51971374382
2024,3,DZA,73356.56896509965,71487.95525855974
2024,3,ECU,110389.21120552983,109829.53110813673
2024,3,EGY,1966268.7895055567,1898345.3668986624
2024,3,ESP,253089.0726988304,247751.29262268217
2024,3,EST,35173.206065047176,34727.950483109904
2024,3,ETH,1111289.215527,1078928.0527580616
2024,3,FIN,398109.3687671746,392598.34869476897
2024,3,FRA,1029328.149118104,1005448.3974681394
2024,3,GBR,319364.8542030758,311558.3267829866
2024,3,GEO,35232.287464942354,34985.39674581012
2024,3,GHA,64725.08067752203,62169.30301966806
2024,3,GRC,145353.64917751637,142714.60231775194
2024,3,GTM,610746.2711064562,586946.2031670542
2024,3,HKG,27694.065278705377,27399.273092269053
2024,3,HND,3613.48418040914,3499.4706741889145
2024,3,HRV,22024.964080890302,21218.85232784843
2024,3,HTI,53142.70211933495,51708.78017929976
2024,3,HUN,420521.7795051213,405278.5520225742
2024,3,IDN,1289019.1816762383,1265722.605771834
2024,3,IND,12772849.748947402,12202285.29635919
2024,3,IRL,258849.37173991068,252989.3115417804
2024,3,IRN,866689.5243068454,852349.1863610721
2024,3,IRQ,2064600.60896373,2009057.2597421992
2024,3,ISR,559135.1451445988,554644.8213975754
2024,3,ITA,2170804.9131898643,2151412.311265226
2024,3,JOR,926445.8153225292,919003.573049462
2024,3,JPN,2096502.9889703847,2068216.0714905448
2024,3,KAZ,9304.217881225894,9228.324546628744
2024,3,KEN,1721243.2198781776,1670129.9983789965
2024,3,KGZ,381441.2384231493,385809.0060280031
2024,3,KHM,1117582.5213058798,1067144.3237079985
2024,3,KOR,284261.33632972813,279949.9645184075
2024,3,LAO,6770.8714424520085,6599.374954265773
2024,3,LBN,16755.68443547026,16407.29845991214
2024,3,LKA,1044310.9443275532,1013541.7339004382
2024,3,LTU,127682.6814888629,127191.87792327737
2024,3,LVA,146216.0384479666,145767.30085236114
2024,3,MAR,246223.18521412247,241042.65779900848
2024,3,MDA,42200.42678268279,41999.44311307395
2024,3,MDG,31071.76056019887,30700.58702762873
2024,3,MEX,5650556.284210837,5440565.917941306
2024,3,MKD,103629.79626756268,101996.31042220427
2024,3,MLI,525544.7676074395,489063.3676153895
2024,3,MMR,77250.33388076347,74327.08362701992
2024,3,MNE,244581.48421537832,242838.17712975288
2024,3,MOZ,817663.0199248033,806746.1875359582
2024,3,MWI,1091206.5996592322,1073293.4516254012
2024,3,NGA,1212129.4511965634,1145106.121173663
2024,3,NIC,848506.7693776398,807240.2972477695
2024,3,NLD,520447.61320408987,507979.3573319195
2024,3,NOR,144544.9574936899,142908.3445242424
2024,3,NPL,135361.1018981816,130295.19631915793
2024,3,NZL,382076.4856636043,381637.4955207876
2024,3,PAK,1643180.8282551868,1586883.4949791566
2024,3,PAN,68391.06624836217,66248.65946610025
2024,3,PER,1184147.2946323133,1160293.267531077
2024,3,PHL,2747737.1789182755,2669293.9466416435
2024,3,POL,839525.2280670346,831658.0711823852
2024,3,PRI,15403.607265698907,15038.65941711407
2024,3,PRK,209273.26176764112,205326.8914151624
2024,3,PRT,41251.62069296858,40531.4688033198
2024,3,PRY,800673.5810499846,772214.2119248704
2024,3,PSE,936034.4535135454,928196.2005157098
2024,3,ROU,508204.2117767592,499276.9142441661
2024,3,RUS,9492814.36235434,9478841.566906316
2024,3,RWA,1900940.0269424105,1866634.2642917607
2024,3,SAU,112653.45958017014,107470.5929579402
2024,3,SDN,216675.51207559177,200468.16780651055
2024,3,SEN,10712.537206651614,10318.173221161034
2024,3,SLV,307246.87180887454,292538.6364503097
2024,3,SRB,131601.58318741503,126557.78190439656
2024,3,SVK,170065.62628254018,164259.72634563776
2024,3,SVN,12027.531562541084,11604.516045645583
2024,3,SWE,1074076.1556627995,1070022.694082857
2024,3,SWZ,13411.764974935728,13058.819451022731
2024,3,SYR,1048998.1770654782,1021861.6822420784
2024,3,TGO,129450.83292476396,123939.89991920206
2024,3,THA,39408.87214912646,38033.15950252862
2024,3,TJK,393560.5046771182,391374.3745789513
2024,3,TKM,17436.548466002907,17270.264341123417
2024,3,TUN,377761.9745649817,365414.68746555096
2024,3,TUR,1075971.2027576622,1055291.4903479796
2024,3,TWN,8855.300103432015,8793.839296541002
2024,3,TZA,2307964.166853012,2244836.753309465
2024,3,UGA,2502226.2165706507,2410954.0885816272
2024,3,UKR,2040645.8840733625,2012469.112489933
2024,3,URY,39693.460152462096,39019.97897506454
2024,3,USA,23693889.90832324,23457281.142997883
2024,3,UZB,68383.85552373929,67710.11938585801
2024,3,VEN,1248323.1156877363,1192810.4344431488
2024,3,VNM,1282523.6016658477,1239194.7457544894
2024,3,YEM,16324.886217519714,15580.494245462947
2024,3,ZAF,1181132.5360091992,1149016.9184008029
2024,3,ZMB,243755.21190162824,235109.18892625417
2024,3,ZWE,504060.85951370775,486733.964132782
2024,4,AGO,53655.692097090345,52409.77098493655
2024,4,ALB,719530.1361884248,698907.9140011611
2024,4,ARG,88423.19233373551,86723.29930177757
2024,4,ARM,432063.9580882405,409689.9787180428
